book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,authors,original_publication_year,original_title,language_code,average_rating,ratings_count
1,2767052,2767052,2792775,272,439023483,Suzanne Collins,2008,The Hunger Games,eng,4.34,4780653
2,3,3,4640799,491,439554934,"J.K. Rowling, Mary GrandPré",1997,Harry Potter and the Philosopher's Stone,eng,4.44,4602479
3,41865,41865,3212258,226,316015849,Stephenie Meyer,2005,Twilight,en-US,3.57,3866839
4,2657,2657,3275794,487,61120081,Harper Lee,1960,To Kill a Mockingbird,eng,4.25,3198671
5,4671,4671,245494,1356,743273567,F. Scott Fitzgerald,1925,The Great Gatsby,eng,3.89,2683664
6,11870085,11870085,16827462,226,525478817,John Green,2012,The Fault in Our Stars,eng,4.26,2346404
7,5907,5907,1540236,969,618260307,J.R.R. Tolkien,1937,The Hobbit or There and Back Again,en-US,4.25,2071616
8,5107,5107,3036731,360,316769177,J.D. Salinger,1951,The Catcher in the Rye,eng,3.79,2044241
9,960,960,3338963,311,1416524797,Dan Brown,2000,Angels & Demons ,en-CA,3.85,2001311
10,1885,1885,3060926,3455,679783261,Jane Austen,1813,Pride and Prejudice,eng,4.24,2035490
11,77203,77203,3295919,283,1594480001,Khaled Hosseini,2003,The Kite Runner ,eng,4.26,1813044
12,13335037,13335037,13155899,210,62024035,Veronica Roth,2011,Divergent,eng,4.24,1903563
13,5470,5470,153313,995,451524934,"George Orwell, Erich Fromm, Celâl Üster",1949,Nineteen Eighty-Four,eng,4.14,1956832
14,7613,7613,2207778,896,452284244,George Orwell,1945,Animal Farm: A Fairy Story,eng,3.87,1881700
15,48855,48855,3532896,710,553296981,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,eng,4.1,1972666
16,2429135,2429135,1708725,274,307269752,"Stieg Larsson, Reg Keeland",2005,Män som hatar kvinnor,eng,4.11,1808403
17,6148028,6148028,6171458,201,439023491,Suzanne Collins,2009,Catching Fire,eng,4.3,1831039
18,5,5,2402163,376,043965548X,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,Harry Potter and the Prisoner of Azkaban,eng,4.53,1832823
19,34,34,3204327,566,618346252,J.R.R. Tolkien,1954, The Fellowship of the Ring,eng,4.34,1766803
20,7260188,7260188,8812783,239,439023513,Suzanne Collins,2010,Mockingjay,eng,4.03,1719760
21,2,2,2809203,307,439358078,"J.K. Rowling, Mary GrandPré",2003,Harry Potter and the Order of the Phoenix,eng,4.46,1735368
22,12232938,12232938,1145090,183,316166685,Alice Sebold,2002,The Lovely Bones,eng,3.77,1605173
23,15881,15881,6231171,398,439064864,"J.K. Rowling, Mary GrandPré",1998,Harry Potter and the Chamber of Secrets,eng,4.37,1779331
24,6,6,3046572,332,439139600,"J.K. Rowling, Mary GrandPré",2000,Harry Potter and the Goblet of Fire,eng,4.53,1753043
25,136251,136251,2963218,263,545010225,"J.K. Rowling, Mary GrandPré",2007,Harry Potter and the Deathly Hallows,eng,4.61,1746574
26,968,968,2982101,350,307277674,Dan Brown,2003,The Da Vinci Code,eng,3.79,1447148
27,1,1,41335427,275,439785960,"J.K. Rowling, Mary GrandPré",2005,Harry Potter and the Half-Blood Prince,eng,4.54,1678823
